concession,indicateur,libelle,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,2026-08,2026-09,2026-10,2026-11,2026-12
stm,ventes_nettes,Ventes nettes,,,,,,,,,,,,
stm,pb_total,Profit brut total,,,,,,,,,,,,
stm,pb_neuf,Profit brut — véhicules neufs,,,,,,,,,,,,
stm,pb_usage,Profit brut — véhicules usagés,,,,,,,,,,,,
stm,pb_service,Profit brut — service,,,,,,,,,,,,
stm,pb_carrosserie,Profit brut — carrosserie,,,,,,,,,,,,
stm,pb_pieces,Profit brut — pièces,,,,,,,,,,,,
stm,autres_revenus,Autres revenus,,,,,,,,,,,,
stm,depenses,Dépenses totales (positif),,,,,,,,,,,,
stm,depenses_variables,Dépenses variables (positif),,,,,,,,,,,,
stm,depenses_personnel,Dépenses de personnel (positif),,,,,,,,,,,,
stm,depenses_semifixes,Dépenses semi-fixes (positif),,,,,,,,,,,,
stm,ebt,EBT (profit net avant impôt),,,,,,,,,,,,
stm,unites_neuf,Unités neuves,,,,,,,,,,,,
stm,unites_usage,Unités usagées,,,,,,,,,,,,
stm,unites_flottes,Unités flottes,,,,,,,,,,,,
hyundai,ventes_nettes,Ventes nettes,,,,,,,,,,,,
hyundai,pb_total,Profit brut total,,,,,,,,,,,,
hyundai,pb_neuf,Profit brut — véhicules neufs,,,,,,,,,,,,
hyundai,pb_usage,Profit brut — véhicules usagés,,,,,,,,,,,,
hyundai,pb_service,Profit brut — service,,,,,,,,,,,,
hyundai,pb_carrosserie,Profit brut — carrosserie,,,,,,,,,,,,
hyundai,pb_pieces,Profit brut — pièces,,,,,,,,,,,,
hyundai,autres_revenus,Autres revenus,,,,,,,,,,,,
hyundai,depenses,Dépenses totales (positif),,,,,,,,,,,,
hyundai,depenses_variables,Dépenses variables (positif),,,,,,,,,,,,
hyundai,depenses_personnel,Dépenses de personnel (positif),,,,,,,,,,,,
hyundai,depenses_semifixes,Dépenses semi-fixes (positif),,,,,,,,,,,,
hyundai,ebt,EBT (profit net avant impôt),,,,,,,,,,,,
hyundai,unites_neuf,Unités neuves,,,,,,,,,,,,
hyundai,unites_usage,Unités usagées,,,,,,,,,,,,
hyundai,unites_flottes,Unités flottes,,,,,,,,,,,,
hawks,ventes_nettes,Ventes nettes,,,,,,,,,,,,
hawks,pb_total,Profit brut total,,,,,,,,,,,,
hawks,pb_neuf,Profit brut — véhicules neufs,,,,,,,,,,,,
hawks,pb_usage,Profit brut — véhicules usagés,,,,,,,,,,,,
hawks,pb_service,Profit brut — service,,,,,,,,,,,,
hawks,pb_carrosserie,Profit brut — carrosserie,,,,,,,,,,,,
hawks,pb_pieces,Profit brut — pièces,,,,,,,,,,,,
hawks,autres_revenus,Autres revenus,,,,,,,,,,,,
hawks,depenses,Dépenses totales (positif),,,,,,,,,,,,
hawks,depenses_variables,Dépenses variables (positif),,,,,,,,,,,,
hawks,depenses_personnel,Dépenses de personnel (positif),,,,,,,,,,,,
hawks,depenses_semifixes,Dépenses semi-fixes (positif),,,,,,,,,,,,
hawks,ebt,EBT (profit net avant impôt),,,,,,,,,,,,
hawks,unites_neuf,Unités neuves,,,,,,,,,,,,
hawks,unites_usage,Unités usagées,,,,,,,,,,,,
hawks,unites_flottes,Unités flottes,,,,,,,,,,,,
